Incident Type,Officer Action,Subject Behavior,De-escalation Tactic,Weapon Involved,Incident Outcome,Bodycam Transcript
Disturbance Call,Used Calm Tone,Cooperative,Requesting Cooperation,Knife,Arrested Peacefully,"**Bodycam Transcript - Incident #2023-10-27-042**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 22:15:00

**(00:00:00)  Sound of police car arriving, engine shuts off.  Door opens and closes.**

**Officer Miller:** (Approaching a residence, knocking)  Dispatch, Miller at 14 Oak Street, disturbance call.

**(00:00:15)  Door opens, revealing a visibly shaken man, mid-30s, holding a kitchen knife.**

**Officer Miller:**  Sir, evening.  My name is Officer Miller.  Can you tell me what’s going on?  (Calm, measured tone)

**Subject (John Doe):**  (Voice trembling)  I...I don’t know what to do. I...I just...

**(00:00:25)  Sound of distant sirens.**

**Officer Miller:**  Sir, I understand you’re upset.  Can you please put the knife down slowly?  Just place it on the ground.

**John Doe:** (Hesitates, looking at the knife, then at the officer)  I... I don’t want to hurt anyone.

**Officer Miller:**  I know, sir. That’s why I’m here. Let’s work together to make sure everyone stays safe. Just put the knife down, slowly.

**(00:00:40)  John Doe slowly lowers the knife to the ground.**

**Officer Miller:**  Good. That’s it.  Now, can you tell me what happened?  (Officer maintains eye contact, but posture is relaxed and non-threatening)

**John Doe:**  I... I had an argument with my wife.  I...I grabbed the knife. I didn’t mean to...

**Officer Miller:**  I understand, sir.  Arguments happen.  But it’s important to remember that using a knife is never the answer.  Can you step away from the knife now?

**(00:00:55)  John Doe takes a couple steps back from the knife.**

**Officer Miller:**  Okay, sir. Now, I’m going to ask you to put your hands up, slowly, so I can handcuff you.  This is just for everyone's safety, alright?

**John Doe:** (Nods slowly)  Okay.

**(00:01:10)  Officer Miller handcuffs John Doe.  Sounds of handcuffs clicking shut.)**

**Officer Miller:**  You’re doing great, sir. Everything is alright now.

**(00:01:20)  Sound of backup officers arriving.)**

**Officer Miller:** (To backup)  Backup arrived. Subject is secured, no injuries.  One kitchen knife recovered.  Requesting transport and an ambulance for evaluation.


**(00:01:40) - End of clip.**
"
Welfare Check,Non-threatening Gestures,Attempted to Flee,Empathy Statements,Knife,Not Injured,"**Bodycam Transcript - Welfare Check**

**Officer:** Officer Miller, Badge #472

**Date:** October 26, 2024

**Time:** 22:15:00

**(00:00:00) VIDEO START**

**(00:00:05) Ambient sounds of crickets chirping, distant city noise.**

**Officer Miller:** (Approaches a dimly lit house, shines flashlight on the front door)  Dispatch, Miller at 14 Elm Street.  Door appears unlocked.

**(00:00:15) Officer Miller enters the house cautiously, flashlight beam sweeping the interior.)**

**Officer Miller:** (Calmly)  Hello?  Police Department.  We received a call expressing concern for your well-being.  Everything alright in here?

**(00:00:25)  A figure emerges from a back room, holding a kitchen knife. It's a male, appearing disheveled, approximately 30s.**

**Subject:** (Muttering, voice trembling)  Go away... just go away...

**(00:00:30) Subject turns and attempts to run past Officer Miller.**

**Officer Miller:** (Raises hands palms out, voice calm but firm)  Hey!  Easy now! Stop!  Just put the knife down slowly, okay?

**(00:00:35) Subject stumbles, nearly dropping the knife. Officer Miller maintains a non-threatening stance, slowly backing away.)**

**Officer Miller:**  I understand you’re scared.  It’s okay. We just want to help. We’re here to make sure you’re alright.  Nobody needs to get hurt tonight.

**(00:00:40)  Footsteps of both Officer Miller and the Subject. Subject is making slow, uncertain movements.)**

**Subject:** (Whispering) I... I don’t want... anyone...

**(00:00:45) Officer Miller continues to back away, maintaining eye contact and keeping his hands visible.**

**Officer Miller:**  What's going on?  Can you tell me what's wrong?  Is there something I can do to help you?  You don't have to answer right away. Just breathe.

**(00:00:55) Subject slowly lowers the knife to his side, his body visibly shaking.)**

**Subject:**  (Voice cracking)  I... I just... needed to...

**(00:01:00) Officer Miller continues backing out of the room, maintaining a safe distance.  He keeps speaking calmly.)**

**Officer Miller:**  It's okay.  You’re safe now.  Just put the knife down on the counter, slowly.  That’s it. Good. We're going to get you some help.

**(00:01:10) Subject places the knife on the counter. Officer Miller slowly approaches again, hands still visible.)**

**Officer Miller:**  Can you tell me your name?  We can get you some support.  There are people who want to help.

**(00:01:20) Subject gives his name. Officer Miller calls for backup.  More officers arrive.)**

**(00:01:35)  Sounds of additional officers entering the house.  Subject is taken into custody without incident. The subject is cooperative and visibly distressed.)**

**(00:01:45) Officer Miller:**  Suspect is in custody. No injuries. Requesting mental health support.

**(00:01:50) VIDEO END**
"
Traffic Stop,Defensive Positioning,Cooperative,Offering Assistance,Blunt Object,Arrested Peacefully,"**Bodycam Transcript - Officer Miller - Unit 743**

**Date:** 10/26/2024
**Time:** 22:47:12

**(00:00:00)  [Ambient traffic noise, distant sirens]**

**Officer Miller:** (Approaches vehicle, activating bodycam) Unit 743 to dispatch, initiating traffic stop at Elm Street and Oak Avenue. Vehicle is a silver Honda Accord, license plate ABC-1234.

**(00:00:10)  [Sound of car door opening and closing]**

**Officer Miller:** (Approaches driver's side window)  Evening, sir. Do you know why I pulled you over?

**Subject (John Smith):** (Calmly)  Officer, I believe it's for the taillight.  I've been meaning to get it fixed.

**(00:00:18) Officer Miller:** (Observes a large, metal pipe lying on the passenger seat) Yes sir, the taillight is out.  Could you please step out of the vehicle for me, sir?  I need to speak with you for a moment.  Keep your hands where I can see them, please.

**(00:00:25) [Sound of car door opening and closing, distinct clicking sound possibly indicating a pipe being moved]**

**Subject (John Smith):**  Certainly, officer.  (Exits vehicle slowly, hands raised visibly)

**(00:00:30)  Officer Miller:** (Maintains a slightly wider stance, hand resting on holster, subtly scanning the area) Sir, I noticed a...pipe... on your passenger seat. Could you explain that to me?

**Subject (John Smith):**  Oh, that?  It's... it's for work. I'm a plumber. I just finished a job.  I completely forgot about it.

**(00:00:40) Officer Miller:** (Slightly relaxes stance, but maintains vigilance) I understand, sir.  However, it's a large pipe, and it is considered a potential weapon. It makes me a little uneasy.  Could you please step away from your vehicle and place your hands behind your back for me?

**(00:00:48)  Subject (John Smith):**  Okay, officer.  (Complies immediately)

**(00:00:52) Officer Miller:** (Slowly approaches subject, handcuffs him securely) Okay, sir.  We’re going to take this pipe for the safety of both of us. I'm going to secure this. I apologize for any inconvenience but it's standard procedure.

**(00:01:00) [Sound of handcuffs clicking]**

**Officer Miller:** (To subject) You're being detained for possession of a potentially dangerous weapon.  You have the right to remain silent... (Continues with Miranda Rights)

**(00:01:25) Officer Miller:** (To Dispatch)  Unit 743, requesting backup and a unit to transport.  Subject is detained, cooperative, and secured.  Possession of a potentially dangerous weapon.  Location remains Elm and Oak.

**(00:01:38) [Sound of police radio chatter]**

**Officer Miller:** (To Subject)  Look, I understand this is inconvenient.  I'm offering to get you a ride to your residence once this is all sorted out if you'd like to leave the pipe at the station. This is going to be easier on you.

**Subject (John Smith):**  Thank you, officer. I appreciate that. I would really appreciate that.

**(00:02:00) [Sound of police sirens approaching]**

**(00:02:15)  [End of recording]**
"
Domestic Dispute,Verbal Commands,Aggressive,Empathy Statements,Knife,Not Injured,"**Bodycam Transcript - Incident #2023-10-27-042**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 22:45:12

**(00:00:00)  Sound of sirens fading as the patrol car pulls up to a house.  Dogs barking in the distance.**

**00:00:15 Officer Miller:** (Approaching the house, microphone activates) Dispatch, Unit 472 is on scene at 14 Maple Street, responding to a domestic disturbance call.  Requesting backup.

**00:00:28 Sound of knocking on a door.**

**00:00:35  Woman's voice (muffled):**  Help... please...

**00:00:42 Officer Miller:**  Police Department! Open the door!

**00:00:48 Sound of the door opening abruptly.**

**00:00:50 Officer Miller:**  Ma'am, are you alright? Step away from the doorway please.

**00:00:55 Woman (Crying):** He...he has a knife...

**00:01:00  Officer Miller:**  Sir, I need you to drop the knife.  Show me your hands! Put the knife down slowly.

**00:01:05 Man (Angry voice):**  Stay back, cop! This is my house!  She’s lying!

**(00:01:10)  Man is partially visible in doorway, holding a kitchen knife.  The woman is behind him, visibly shaken and trying to move out of the way. He's agitated and waving the knife slightly.**

**00:01:15 Officer Miller:**  Sir, I understand you're upset, but I need you to drop the knife.  Nobody needs to get hurt tonight.

**00:01:20 Man:** Get out of my house!


**00:01:25 Officer Miller:** Sir, this situation can be solved peacefully.  Please put the knife down. I don't want to have to use force. I know you are angry right now, but please, let's talk.


**00:01:32 Man (Voice slightly less aggressive):**  She's been... she's been messing with my stuff...


**00:01:37 Officer Miller:** Sir, I understand that things are tense, and it’s okay to feel angry.  But the knife isn't going to solve anything.  Let's put it down slowly, and we can figure this out together, okay?


**00:01:45 Man (hesitantly):**  I... I don't want to go to jail...


**00:01:50 Officer Miller:**  Nobody wants to go to jail, sir.  But dropping the knife is the first step to resolving this without anyone getting hurt.  Slowly now...


**(00:01:55) The man slowly lowers the knife, then drops it to the floor.  He keeps his hands up, though, out of self-preservation.**

**00:02:00 Officer Miller:** That's it, sir. Good job. Now, keep your hands where I can see them.


**00:02:05  Sound of backup units arriving.**

**00:02:10 Officer Miller:**  Backup is here.  We are going to cuff you sir. This is for your safety and everyone else's.

**(00:02:15) The man is handcuffed. The woman is comforted by another officer.)**

**00:02:20 Officer Miller:**  (To the woman) Ma’am, are you injured? Do you need medical attention?


**00:02:25 Woman:**  No, I’m okay... just scared.


**00:02:30 Officer Miller:** (To the man) You are under arrest for aggravated assault. You have the right to remain silent... (Continues Miranda Rights)


**(00:02:50)  The rest of the transcript involves booking procedures and statements.)**
"
Domestic Dispute,Defensive Positioning,Armed and Hostile,Requesting Cooperation,Firearm,Arrested Peacefully,"**Bodycam Transcript - Incident #2023-10-27-042**

**Officer:** Officer Miller, Badge #472

**Time:** 23:57:12

**(Sound of sirens in the distance, then fading)**

**23:57:48:**  (Officer approaches residence, knocks on the door. Sounds of shouting and glass breaking from inside)

**Officer Miller:** Police! Open the door!

**23:58:02:** (Door opens slightly, revealing a male subject, JOHN SMITH, 38, holding a handgun. He's visibly agitated.)

**John Smith:** (Shouting) Get away from my house!  This is none of your business!

**23:58:07:**  **Officer Miller:** Sir, please drop the weapon.  We’re here because of a report of a domestic disturbance.  Let's de-escalate this situation.  

**John Smith:** (Laughing, unsteady) De-escalate?  You're going to have to kill me to take this thing!

**(Sound of a woman's muffled cries from inside the house)**

**23:58:15:**  **Officer Miller:** Sir, I'm not looking to escalate this.  Put the gun down slowly.  I'm not going to hurt you, but I need you to cooperate. Just slowly lower the weapon.

**John Smith:** (Swings the gun slightly, pointing it at the ground. He looks at his surroundings) You think you can bluff me?

**23:58:28:**  **Officer Miller:** (Maintaining a defensive stance, keeping the gun in sight but avoids direct confrontation) Sir, I’m not bluffing.  Just drop the weapon. My partner is en route, and they'll handle this the same way as I am. This won’t end well for you if you continue to threaten people with this gun.

**(Sound of police car approaching in the background)**

**23:58:45:** **Officer Miller:** (Officer keeps eyes on Smith) Okay, let’s try this again. Very slowly, put the weapon on the ground.

**John Smith:**  (Hesitates, sweat visible on his forehead)  Fine... fine.

**(John Smith slowly lowers the gun, places it on the ground about 5 feet away. Officer Miller slowly moves behind his patrol car keeping his firearm drawn but aiming low.  Backup officers arrive.)**


**23:59:12:** **Officer Miller:**  Sir, keep your hands where I can see them! Now get on your knees, slowly.

**John Smith:** (Complies)

**23:59:20:** (Backup officers secure John Smith. Handcuffs are applied.)

**23:59:37:** **Officer Miller:** (To backup) We're good here.  Requesting paramedics and an additional unit to secure the scene and assess the female reported in distress.

**(Sounds of communication over police radio)**

**23:59:55:** **Officer Miller:**  (To John Smith) You're under arrest for aggravated assault and unlawful possession of a firearm.  You have the right to remain silent... (Continues reading Miranda rights).

**(End of transcript)**
"
Domestic Dispute,Used Calm Tone,Hostile,Non-threatening Gestures,,Not Injured,"**Bodycam Transcript - Incident #2023-10-27-042**

**Officer:** Officer Miller, Badge #472

**Date/Time:** October 27, 2023, 22:45:12

**(00:00:00)  Sound of sirens in distance, then fading.**

**(00:00:05)  Officer Miller approaches a house with the front door slightly ajar.  Footsteps on pavement and gravel.**

**Officer Miller:** (Calmly)  Police Department.  Sir, ma'am, is everything alright in here?

**(00:00:12)  Sound of raised voices from inside the house, followed by a loud crash.**

**(00:00:15) A woman, identified later as Sarah Jones, bursts from the house, eyes red and puffy, visibly upset.**

**Sarah Jones:** (Shouting) Get him out of here! He’s going to kill me!

**(00:00:18)  Officer Miller takes a slow, deliberate step back, hands visible and open.**

**Officer Miller:** (Calmly) Ma'am, please, take a deep breath.  I need you to tell me what's happening.  It’s okay.  Just breathe.

**Sarah Jones:** (Hysterical) He's threatening me!  He’s going to... (She trails off, breathing heavily)

**(00:00:25) A man, identified later as Mark Jones, emerges from the house.  He appears agitated and is wiping his hands on his pants.**

**Mark Jones:** (Angry)  She’s lying!  She’s always lying!

**(00:00:28) Officer Miller keeps his hands visible and avoids making sudden movements. He slowly raises his hands, palms open, in a gesture of non-threatening communication.**

**Officer Miller:** (Calmly) Sir, I need to understand what happened. Please, let’s keep our voices down. We can sort this out.

**Mark Jones:**  She broke a glass!  She’s always breaking things!

**(00:00:35) Sarah Jones points accusingly at Mark Jones.**

**Sarah Jones:** He pushed me! He almost... (she stops, tears streaming)

**(00:00:40) Officer Miller approaches slowly and evenly between both subjects, maintaining a calm, neutral demeanor.**

**Officer Miller:** Okay, let’s take a step back and calm down.  I'm going to need both of your names and addresses.  We can talk about what happened after we get some information. We want to understand the situation from both perspectives.

**(00:00:48)  Both Sarah and Mark Jones, though still agitated, seem slightly calmer.**

**Officer Miller:** (Continuing) Sir, could you please step back for a moment? I just need to speak to Ma'am.

**(00:00:55) Officer Miller speaks with Sarah Jones separately, maintaining a calm and reassuring tone while gathering details of the event.**

**(00:01:30) Officer Miller speaks with Mark Jones separately, again using a calm tone and encouraging him to recount the situation.**

**(00:02:15) Officer Miller informs both parties that he needs to file a report and will be recommending they seek help from family or a domestic violence hotline.**


**(00:02:40) Officer Miller concludes the scene with both parties uninjured and no further escalation.  Sound of Officer Miller's car starting and driving away.**

**(End of Transcript)**
"
Welfare Check,Requested Backup,Attempted to Flee,Empathy Statements,Knife,Not Injured,"**Bodycam Transcript - Incident #WC23-10-27**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 22:45:00

**(00:00:00)  Audio: Ambient city noise, distant sirens.**

**Officer Miller:** (Approaching address, knocking on door)  Dispatch, this is Unit 472, approaching 14 Elm Street for a welfare check.

**(00:00:15) Audio: Door opens slightly, revealing a glimpse of the interior.**

**Officer Miller:**  Sir, Police.  We received a call expressing concern for your well-being.  Can I come in?

**(00:00:20) Audio:  A muffled voice responds. Inaudible.**

**Officer Miller:**  Sir, I can't quite hear you. Could you please step out so we can talk?

**(00:00:25)  Audio:  Sound of shuffling inside.  Then, a man, later identified as John Doe, emerges from the house. He appears agitated, holding something concealed in his hand.**

**Officer Miller:**  Sir, I'm Officer Miller. We're just here to check on you.  Everything alright?

**John Doe:** (Muttering, agitated) Leave me alone. I don't need any help.

**(00:00:30) Officer Miller:**  Sir, I understand you might not want our help, but we just want to make sure you're okay. We got a call saying you might be... having a tough time.

**(00:00:35)  Audio:  John Doe takes a step back, making a sudden, quick movement.  Officer Miller's hand goes to his taser.**

**Officer Miller:**  Sir, please don't make any sudden movements. What's in your hand?

**(00:00:40)  John Doe partially reveals a knife.  He starts to run away from the officer, down the street.**

**Officer Miller:** (Into radio)  Dispatch, this is Unit 472, requesting immediate backup. Subject at 14 Elm Street, attempting to flee, possibly armed with a knife.  Location: Subject fleeing southbound on Elm Street.  Repeat, requesting backup, suspect fleeing!

**(00:00:45)  Audio:  Sounds of running footsteps. Officer Miller pursues John Doe at a safe distance.**

**Officer Miller:**  Sir, stop! Police!  Stop running!

**(00:00:50)  Officer Miller maintains a safe distance while pursuing.**

**Officer Miller:** Sir, I know things feel overwhelming right now.  It's okay to ask for help.  Put the knife down, please.

**(00:00:55) Audio:  Siren approaching in the background.**

**Officer Miller:** (Continues, trying a softer approach) Sir, we just want to understand what's going on and make sure you're safe.  Tell me what's happening. We're here to help.  

**(00:01:00) Audio: Back-up units arrive.  Officer Miller continues to maintain visual and verbal contact while keeping a safe distance.**

**Officer Miller:** (To backup) Suspect is cornered at the intersection of Elm and Maple, still refusing to drop the knife.

**(00:01:15) Audio: Sounds of other officers engaging in de-escalation.  John Doe slowly drops the knife.**

**Officer Miller:**  (to John Doe)  Okay, good.  Put your hands up slowly.  Slowly now... That's it, you’re doing great.

**(00:01:30)  John Doe is handcuffed.  No injuries reported.**

**Officer Miller:** (into radio)  Dispatch, suspect apprehended at Elm and Maple without incident.  Requesting ambulance for a mental health evaluation.  No injuries.

**(00:01:40)  Audio:  Sounds of an ambulance arriving and John Doe being placed in the ambulance.**


**(End of Transcript)**
"
Suspicious Person,Pointed Weapon,Cooperative,Non-threatening Gestures,Taser,Arrested Peacefully,"**Bodycam Transcript - Incident #2023-10-27-0042**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 23:45:12

**(00:00:00)  Sound of police car approaching, then stopping.  Engine shuts off.)**

**Officer Miller:** (To dispatch) Unit 472, arrived at the scene. Suspicious person report at 14 Elm Street.  Requesting backup.

**(00:00:15)  Sound of Officer Miller exiting the vehicle, footsteps on pavement.)**

**Officer Miller:**  (Approaching a man sitting on a bench) Sir, good evening.  Can I talk to you for a moment?

**Subject:** (Startled, stands up.  Voice slightly shaky)  Yes, officer.

**(00:00:22)  Officer Miller draws his taser, keeping it pointed down, but visible.  The distinctive sound of the taser being drawn is audible.)**

**Officer Miller:** (Calm, controlled tone) Sir, please keep your hands where I can see them.  We received a report of a suspicious person in this area.  I just need to ask you a few questions.

**Subject:**  (Raises hands slowly, palms out)  Okay, officer. I understand.  I... I wasn't doing anything wrong.

**(00:00:35) Officer Miller slowly lowers the taser slightly, making non-threatening gestures with his other hand.  The movement is deliberate and calm.)**

**Officer Miller:**  Sir, I appreciate that.  Can you tell me your name and date of birth?

**Subject:**  My name is John Doe, born July 14th, 1985.

**(00:00:45) Sounds of a police car approaching in the background.)**

**Officer Miller:**  Thank you, Mr. Doe.  We're just checking on things.   Now, why were you sitting on this bench late at night?

**Subject:** I... I was just taking a break from walking. I was feeling a bit tired.

**Officer Miller:**  I understand.  Do you have any identification on you?

**Subject:** Yes, sir. (Reaches into his pocket slowly, keeping his hands visible)  Here's my wallet.

**(00:01:02) Officer Miller takes the identification, checks it.  Sound of pages rustling.)**

**Officer Miller:** (To dispatch) Unit 472.  We have a positive ID on the subject. John Doe.  No outstanding warrants.  We have a reason to believe he is involved in a possible drug related incident reported in a neighboring precinct earlier tonight.

**(00:01:18) Backup unit arrives.  Sound of another police car door closing.)**

**Officer Miller:** (To backup officer) Officer Jones, thanks for the backup.  This is John Doe.  He's been cooperative but he's being detained for questioning related to a prior incident.

**Officer Jones:**  Understood.

**(00:01:30) Officer Miller handcuffs John Doe.  Sounds of clicking handcuffs.)**

**Officer Miller:** (To John Doe)  Sir, you are being detained for questioning. You have the right to remain silent... (Continues reading Miranda rights)

**(00:02:00)  Sound of John Doe being escorted to the backup unit.)**

**Officer Miller:** (To dispatch)  Unit 472, subject in custody, transporting to the precinct.  Requesting a transport unit.

**(00:02:15) Sound of police cars driving away.)**
"
Welfare Check,Non-threatening Gestures,Threatened Officer,Offering Assistance,Firearm,Arrested Peacefully,"**Bodycam Transcript - Incident #2023-10-27-042**

**Officer:** Officer Miller, Badge #472

**Time:** 2023-10-27 22:43:12

**(Audio: Static, faint sirens in the distance)**

**22:43:18 Miller:** (Approaching residence, knocking on door)  Dispatch, Miller, at 14 Oak Street for the welfare check.  Door appears secure.  Attempting knock again.

**(Sound: Knock on door)**

**22:43:32 Miller:** (Speaking loudly)  Police Department! We're conducting a welfare check. Please open the door.

**(Sound: Door creaks open slowly)**

**22:43:45 Miller:**  Sir, are you okay? My name is Officer Miller. We received a call expressing concern for your well-being.

**(Subject, JOHN SMITH, 40s, appears in doorway, visibly agitated. Holds a handgun visibly, pointing it towards the ground.)**

**22:43:50 Smith:** (Voice trembling, slurred)  Get... get away from my house.  I... I ain't hurt.

**22:43:55 Miller:** (Maintaining calm demeanor, hands visible at sides) Sir, I understand.  I just want to make sure everything's alright.  You seem a little upset.  Could you please put the gun down slowly?  It's making me a little nervous.

**(Miller slowly lowers his hand to his holster and keeps a calm body posture, maintaining eye contact.)**

**22:44:05 Smith:** (Raising the firearm slightly)  I told you to get away! This is my property!  You're trespassing!

**22:44:10 Miller:**  Sir, I assure you we're not here to cause trouble. We're just trying to help.  Is there something we can do to assist you? Maybe you’re having a difficult night, and need to talk to someone.

**(Audio: Distant dog bark)**

**22:44:22 Smith:** (Hesitates, looking down at the gun)  I... I just... need to be left alone.

**22:44:28 Miller:**  I understand you need space. But having a firearm like that... it's making this more tense than it needs to be.  If you'd just put it down, we can talk, and maybe we can help you out.  There are resources available if you're struggling.

**22:44:40 Smith:** (Takes a deep, shaky breath)  I... I don't know...

**22:44:45 Miller:** (Softly)  It’s okay to not be okay, sir.  Let’s put the gun down slowly, and we can talk about it.  I'm here to help.

**(Smith slowly lowers the firearm and places it on a nearby table.  He visibly relaxes slightly.)**

**22:45:02 Smith:** (Voice softer)  I... I’ve been having a rough time.  My wife... she left me.

**22:45:08 Miller:** (Approaches slowly, maintaining a non-threatening stance) I'm sorry to hear that, sir. That sounds incredibly difficult.  Would you like to talk about it? We can get you some help if you want it.  We have resources available for people in your situation.

**22:45:20 Smith:** (Nods slowly)  Yeah... maybe.

**(Backup officers arrive at 22:45:35)**

**22:45:40 Miller:** Okay sir, we're going to get you some help.  My partners are here for backup.  We’re going to secure the weapon and make sure you're okay.  Just cooperate with us and we can get through this.

**(Smith is subsequently taken into custody without further incident.  The firearm is secured.)**

**22:47:15 Miller:**  Dispatch, Miller, subject is in custody, incident concluded. Requesting transport and mental health services.


**(End of Transcript)**
"
Disturbance Call,Verbal Commands,Aggressive,Calming Language,,Not Injured,"**Incident Type:** Disturbance Call
**Date:** October 26, 2023
**Time:** 22:45:00
**Location:** 14 Elm Street, Apartment 3B

**Officer:** Officer Miller, Badge #472

**Bodycam Transcript:**

**22:45:00** (Sound of car door slamming, footsteps on pavement)

**Officer Miller:**  Dispatch, Unit 472 arriving at 14 Elm Street, Apartment 3B. Disturbance call.

**22:45:30** (Knocking on apartment door)

**Officer Miller:** Police Department, open the door.

**(Sound of yelling and banging from inside the apartment)**

**22:45:45** (Door opens slightly, revealing a male subject, approximately 30 years old, visibly agitated)

**Subject:** (Shouting) What do you want?!  Get off my property!

**Officer Miller:** Sir, we received a call about a disturbance.  Everything alright in here?

**22:46:00**

**Subject:** (Red-faced, voice rising) It’s none of your business! Get out! (He tries to slam the door.)

**Officer Miller:** (Firmly, but calmly) Sir, please hold on a second. Let’s just talk this through.  We just want to make sure everything is okay.

**22:46:15** (Subject struggles to keep the door open, pushing against Officer Miller's hand.)

**Officer Miller:** (Maintaining calm tone) Sir, I understand you’re upset, but it’s important for me to assess the situation. Can you step back just a bit so I can get a better look?

**Subject:** (Spitting)  I'm not doing anything!  Get off my porch! You’re trespassing!

**22:46:30**

**Officer Miller:** (Moving slightly back, keeps maintaining eye contact)  Sir, I can see you're agitated.  Take a deep breath with me, okay?  In... and out...

**(Sound of heavy breathing from the subject)**

**22:46:45**

**Officer Miller:**  (Calmly)  Now, tell me what happened. What’s going on? Let's try to understand what's upsetting you.

**Subject:** (Voice slightly calmer) It's... my neighbor... he's been... bothering me... all night.

**Officer Miller:** I see.  And what exactly has he been doing?

**22:47:00** (Subject begins to explain his situation, albeit still somewhat agitated, but significantly less aggressive. Officer Miller listens attentively, occasionally nodding and using calming verbal affirmations like ""I understand,"" and ""I see."")

**22:47:30**

**Officer Miller:** Okay, sir. Thank you for explaining that. I’m going to go talk to your neighbor.  We'll see if we can resolve this.  Is that alright with you?

**Subject:** (Nods)  Yeah...

**22:47:45**

**Officer Miller:**  Good.  We'll be back in a few minutes.  Have a good night, sir.  (Officer Miller steps away from the door.)

**(Sound of Officer Miller walking away, then talking quietly into the radio.)**

**Officer Miller:** Dispatch, Unit 472 will be speaking with the neighbor at 14 Elm Street, Apartment 3A.  Incident appears to be a neighbor dispute.  No weapons, no injuries.  Will update upon conclusion.  Over.


**(End of transcript)**
"
